host,preference,metric,mean,ci95_low,ci95_high,delta_mean,delta_ci95_low,delta_ci95_high
DPLM-2 Bit,confidence,tm,0.6303174218313841,,,,,
DPLM-2 Bit,confidence,plddt,0.8582639083862305,,,,,
DPLM-2 Bit,confidence,balanced,0.7354891663327258,,,,,
DPLM-2 Bit,ws,tm,0.5977969387117941,,,-0.032520483119589993,-0.09559256913040469,0.0022110399413989602
DPLM-2 Bit,ws,plddt,0.842809757232666,,,-0.01545415115356441,-0.1122702430725098,0.04379340705871589
DPLM-2 Bit,ws,balanced,0.7096757791610273,,,-0.025813387171698454,-0.1025262812746367,0.01664670580637949
DPLM-2 Bit,tcheby,tm,0.6270491927654905,,,-0.0032682290658935242,-0.009220912742001307,0.0024982394391435568
DPLM-2 Bit,tcheby,plddt,0.8679784088134767,,,0.009714500427246198,-0.005139548301696817,0.024327768898010218
DPLM-2 Bit,tcheby,balanced,0.7376595074134766,,,0.0021703410807508705,-0.004257088106711851,0.009107565863885083
DCM,confidence,nonzero_recovery,0.018255980709987185,0.017408403372844997,0.019088228462860315,,,
DCM,confidence,nonzero_mae_benefit,0.6410492866403122,0.6373892303133006,0.6446331875824685,,,
DCM,confidence,zero_accuracy,0.9974892955692962,0.9972812573873651,0.9976950726195306,,,
DCM,recovery,nonzero_recovery,0.01977745601994779,0.01896612996762139,0.0205902097031451,,,
DCM,recovery,nonzero_mae_benefit,0.6432201762945694,0.6394515597597964,0.6469573636859405,,,
DCM,recovery,zero_accuracy,0.9973194757317521,0.9970925057325958,0.9975469733667862,,,
DCM,mae,nonzero_recovery,0.01886666967468363,0.018035302101386104,0.01969801417837807,,,
DCM,mae,nonzero_mae_benefit,0.6418353441806609,0.6381628563808326,0.6453742923183247,,,
DCM,mae,zero_accuracy,0.9974513714529142,0.997237297211084,0.9976578449201055,,,
DCM,balanced,nonzero_recovery,0.018839702236429508,0.018040173852753836,0.019700930838528957,,,
DCM,balanced,nonzero_mae_benefit,0.6418182980950318,0.6381503710487828,0.6453795869515503,,,
DCM,balanced,zero_accuracy,0.997454795566842,0.9972301627461617,0.9976599439304741,,,
DCM,zero,nonzero_recovery,0.018229059756609465,0.017427114423977454,0.01907780187773841,,,
DCM,zero,nonzero_mae_benefit,0.6410142984522778,0.6374259192767172,0.6446607186387722,,,
DCM,zero,zero_accuracy,0.9974919333291136,0.9972765944491271,0.9976922270152145,,,
GenMol,confidence,qed,0.639227551303513,0.6288612062917311,0.6494524464166604,,,
GenMol,confidence,sa_benefit,0.8425384517424188,0.8351069319624569,0.8496685143891918,,,
GenMol,confidence,validity,0.997,0.993,1.0,,,
GenMol,confidence,uniqueness,0.7512537612838516,0.724172517552658,0.7777805695142378,,,
GenMol,confidence,diversity,0.8607117787022514,0.8555314481258393,0.8639431819319725,,,
GenMol,qed,qed,0.7254317452961039,0.7161047447706476,0.7353191764144948,,,
GenMol,qed,sa_benefit,0.9006430963882015,0.8954132787608261,0.9058715163760466,,,
GenMol,qed,validity,0.999,0.997,1.0,,,
GenMol,qed,uniqueness,0.5395395395395396,0.507,0.57,,,
GenMol,qed,diversity,0.7981786214244242,0.7869468867778778,0.7985131740570068,,,
GenMol,balanced,qed,0.7350459145020083,0.7254568865145078,0.74459405500234,,,
GenMol,balanced,sa_benefit,0.9032187594658682,0.898072359328613,0.9084484052375982,,,
GenMol,balanced,validity,0.998,0.995,1.0,,,
GenMol,balanced,uniqueness,0.48296593186372744,0.45190139314774125,0.5145145145145145,,,
GenMol,balanced,diversity,0.7988223416041227,0.7869164288043976,0.8000740855932236,,,
GenMol,sa,qed,0.7007911625499951,0.6916895965379968,0.7101047211528713,,,
GenMol,sa,sa_benefit,0.8747978334130234,0.8689637781010464,0.8806320363494654,,,
GenMol,sa,validity,0.998,0.995,1.0,,,
GenMol,sa,uniqueness,0.6222444889779559,0.5919551871695489,0.6523046092184369,,,
GenMol,sa,diversity,0.8242005568125668,0.8164834246039391,0.8267869397997856,,,
SDPO-DNA,confidence,total_metric,0.38417626789167997,0.3182376898021178,0.45381367358278024,,,
SDPO-DNA,confidence,hepg2_mean,4.138093416690826,4.058011066913605,4.212135517597199,,,
SDPO-DNA,confidence,atac_acc,0.1677265625,0.140625,0.19535156249999996,,,
SDPO-DNA,confidence,kmer_pearson,0.5532474843124158,0.5440313655516711,0.5627835103636459,,,
SDPO-DNA,confidence,log_lik_mean,-224.3139478149414,-225.41282539367677,-223.16393585205077,,,
SDPO-DNA,dprm_conf,total_metric,1.422923447792913,1.2818902343299696,1.5708960266259062,,,
SDPO-DNA,dprm_conf,hepg2_mean,4.303876227855683,4.193139755725861,4.412160563468933,,,
SDPO-DNA,dprm_conf,atac_acc,0.4006921875,0.3625,0.440625,,,
SDPO-DNA,dprm_conf,kmer_pearson,0.8250610611546989,0.8195112903143134,0.8305231754787219,,,
SDPO-DNA,dprm_conf,log_lik_mean,-233.61498727416992,-234.9510097503662,-232.27512397766114,,,
SDPO-DNA,dprm_random,total_metric,2.118902052566281,1.972765447388238,2.2616966074519502,,,
SDPO-DNA,dprm_random,hepg2_mean,3.336600031852722,3.2332877933979036,3.4471687197685243,,,
SDPO-DNA,dprm_random,atac_acc,0.754296875,0.7203125,0.7875,,,
SDPO-DNA,dprm_random,kmer_pearson,0.8417481495148308,0.8367651659831193,0.8466785425417999,,,
SDPO-DNA,dprm_random,log_lik_mean,-250.71667225646974,-251.5347900390625,-249.88441162109376,,,
