host,task,method,variant,metric,direction,value,ci95_low,ci95_high,n,protocol
LLaDA-V,AI2D,Random,random,accuracy,higher,0.628,,,500,matched_pipeline
LLaDA-V,AI2D,Confidence,confidence,accuracy,higher,0.658,,,500,matched_pipeline
LLaDA-V,AI2D,DPRM-confidence,dprm_confidence,accuracy,higher,0.692,,,500,matched_pipeline
LLaDA-V,AI2D,DPRM-random,dprm_random,accuracy,higher,0.654,,,500,matched_pipeline
LLaDA-V,RealWorldQA,Confidence,confidence,accuracy,higher,0.473477,,,509,heldout_after_dev
LLaDA-V,RealWorldQA,DPRM-confidence,dprm_confidence,accuracy,higher,0.489194,,,509,heldout_after_dev
LLaDA-V,RealWorldQA,DPRM-confidence,dprm_confidence,paired_delta,higher,0.015717,-0.005894,0.037328,509,heldout_after_dev
LLaDA-V,RealWorldQA numeric,Confidence,confidence,accuracy,higher,0.320513,,,78,heldout_after_dev
LLaDA-V,RealWorldQA numeric,DPRM-confidence,dprm_confidence,accuracy,higher,0.410256,,,78,heldout_after_dev
LLaDA-V,RealWorldQA numeric,DPRM-confidence,dprm_confidence,paired_delta,higher,0.089744,0.038462,0.153846,78,heldout_after_dev
LLaDA-V,ChartQA,Confidence,confidence,accuracy,higher,0.696,,,500,frozen_transfer
LLaDA-V,ChartQA,DPRM-confidence,dprm_confidence,accuracy,higher,0.710,,,500,frozen_transfer
LLaDA-V,ChartQA numeric,Confidence,confidence,accuracy,higher,0.717241,,,145,frozen_transfer
LLaDA-V,ChartQA numeric,DPRM-confidence,dprm_confidence,accuracy,higher,0.751724,,,145,frozen_transfer
LLaDA-V,ChartQA numeric,DPRM-confidence,dprm_confidence,paired_delta,higher,0.034483,0.006897,0.068966,145,frozen_transfer
PUMA,GSM8K,PUMA confidence,confidence,unmask_2_accuracy,higher,29.95,,,1319,shared_checkpoint
PUMA,GSM8K,DPRM-PUMA,dprm_confidence,unmask_2_accuracy,higher,34.12,,,1319,shared_checkpoint
PUMA,GSM8K,PUMA confidence,confidence,unmask_3_accuracy,higher,28.73,,,1319,shared_checkpoint
PUMA,GSM8K,DPRM-PUMA,dprm_confidence,unmask_3_accuracy,higher,34.42,,,1319,shared_checkpoint
PUMA,GSM8K,PUMA confidence,confidence,mean_accuracy,higher,29.34,,,1319,shared_checkpoint
PUMA,GSM8K,DPRM-PUMA,dprm_confidence,mean_accuracy,higher,34.27,,,1319,shared_checkpoint
DMPO,GSM8K,DMPO,random,mean_pass_at_k,higher,88.1,,,,matched_pipeline
DMPO,GSM8K,Progressive DMPO,confidence,mean_pass_at_k,higher,88.7,,,,matched_pipeline
DMPO,GSM8K,DMPO-DPRM,dprm_confidence,mean_pass_at_k,higher,88.6,,,,matched_pipeline
DMPO,GSM8K Hard,Progressive DMPO,confidence,mean_pass_at_k,higher,74.4,,,,matched_pipeline
DMPO,GSM8K Hard,DMPO-DPRM,dprm_confidence,mean_pass_at_k,higher,75.3,,,,matched_pipeline
DMPO,MATH,DMPO,random,mean_pass_at_k,higher,47.1,,,,matched_pipeline
DMPO,MATH,Progressive DMPO,confidence,mean_pass_at_k,higher,50.4,,,,matched_pipeline
