method,metric,hi,lo,mean
GenMol-V2,diversity,0.8321728900074958,0.824774281680584,0.8284816184401512
GenMol-V2,quality,0.876,0.833,0.8540871999999999
GenMol-V2,uniqueness,0.6012207527975585,0.5619918699186992,0.582202524822307
GenMol-V2,validity,0.991,0.976,0.9840224
Progressive-GenMol-V2,diversity,0.8571605175733567,0.8490647524595261,0.8532783134579659
Progressive-GenMol-V2,quality,0.607,0.546,0.5762938
Progressive-GenMol-V2,uniqueness,0.49898785425101216,0.460446247464503,0.47981967218548144
Progressive-GenMol-V2,validity,0.996,0.983,0.9900171999999998
DPRM-random-GenMol-V2,diversity,0.7836514800786972,0.7715803280472755,0.7777598192453384
DPRM-random-GenMol-V2,quality,0.852,0.806,0.8293383999999998
DPRM-random-GenMol-V2,uniqueness,0.3812877263581489,0.3473895582329317,0.3643432813412367
DPRM-random-GenMol-V2,validity,1.0,0.993,0.996979
DPRM-confidence-GenMol-V2,diversity,0.8165504112839699,0.803805547952652,0.8103254545807839
DPRM-confidence-GenMol-V2,quality,0.633,0.573,0.6031848
DPRM-confidence-GenMol-V2,uniqueness,0.3295221257526957,0.2956155890865686,0.31286756864818416
DPRM-confidence-GenMol-V2,validity,0.978,0.957,0.9679943999999999
