method,task,metric,hi,lo,mean
GenMol-V2,linker_design,distance,0.3939393939393939,0.39393939393939387,0.3939393939393939
GenMol-V2,linker_design,diversity,0.0,0.0,0.0
GenMol-V2,linker_design,quality,0.42857142857142855,0.0,0.14182857142857141
GenMol-V2,linker_design,uniqueness,0.42857142857142855,0.0,0.14182857142857141
GenMol-V2,linker_design,validity,0.42857142857142855,0.0,0.14182857142857141
GenMol-V2,linker_design_onestep,distance,0.5555555555555556,0.3448275862068966,0.4191828929889972
GenMol-V2,linker_design_onestep,diversity,0.0,0.0,0.0
GenMol-V2,linker_design_onestep,quality,0.42857142857142855,0.0,0.1439142857142857
GenMol-V2,linker_design_onestep,uniqueness,0.8571428571428571,0.14285714285714285,0.4304
GenMol-V2,linker_design_onestep,validity,0.8571428571428571,0.14285714285714285,0.4304
GenMol-V2,motif_extension,distance,0.7599103217099821,0.5333317727109571,0.6506302418907578
GenMol-V2,motif_extension,diversity,0.0,0.0,0.0
GenMol-V2,motif_extension,quality,0.5714285714285714,0.0,0.27974285714285707
GenMol-V2,motif_extension,uniqueness,1.0,0.42857142857142855,0.7148285714285714
GenMol-V2,motif_extension,validity,1.0,0.42857142857142855,0.7148285714285714
GenMol-V2,scaffold_decoration,distance,0.7102813413789023,0.5038461538461538,0.6028326577482065
GenMol-V2,scaffold_decoration,diversity,0.0,0.0,0.0
GenMol-V2,scaffold_decoration,quality,0.8571428571428571,0.14285714285714285,0.4289142857142857
GenMol-V2,scaffold_decoration,uniqueness,1.0,0.42857142857142855,0.7165142857142857
GenMol-V2,scaffold_decoration,validity,1.0,0.42857142857142855,0.7165142857142857
GenMol-V2,superstructure_generation,distance,0.7832807153198115,0.5605961605961606,0.674584956823393
GenMol-V2,superstructure_generation,diversity,0.0,0.0,0.0
GenMol-V2,superstructure_generation,quality,1.0,0.2857142857142857,0.7096857142857143
GenMol-V2,superstructure_generation,uniqueness,1.0,1.0,1.0
GenMol-V2,superstructure_generation,validity,1.0,1.0,1.0
Progressive-GenMol-V2,linker_design,distance,0.3939393939393939,0.39393939393939387,0.3939393939393939
