suite,task,subset,model,metric,point,ci_low,ci_high,stderr,n,method
Prism,gsm8k,overall,Prism (confidence),voted_accuracy,82.4109173616376,80.3639120545868,84.4579226686884,1.0491063838866308,1319,paired_bootstrap
Prism,gsm8k,overall,Prism (confidence),rank1_accuracy,82.10765731614859,80.0606520090978,84.1546626231994,1.0550606365891713,1319,paired_bootstrap
Prism,gsm8k,overall,Prism (confidence),any4_accuracy,84.6095526914329,82.63836239575436,86.58074298711145,1.0089575194020504,1319,paired_bootstrap
Prism,gsm8k,overall,Prism (confidence),mean_nfe,608.9802880970432,600.1734647460197,618.1668309325246,4.581550336083512,1319,paired_bootstrap
Prism,gsm8k,overall,DPRM-Prism,voted_accuracy,83.85140257771039,81.88021228203183,85.82259287338894,1.0143755948921573,1319,paired_bootstrap
Prism,gsm8k,overall,DPRM-Prism,rank1_accuracy,83.69977255496588,81.6527672479151,85.67096285064443,1.0183724782788788,1319,paired_bootstrap
Prism,gsm8k,overall,DPRM-Prism,any4_accuracy,86.58074298711145,84.6095526914329,88.40030326004549,0.9529244101407517,1319,paired_bootstrap
Prism,gsm8k,overall,DPRM-Prism,mean_nfe,1070.5435936315391,1060.8445034116755,1080.6031084154663,5.068673038093235,1319,paired_bootstrap
Prism,gsm8k,overall,DPRM-Prism - Prism,voted_accuracy_delta,1.4404852160727823,-0.37907505686125853,3.10841546626232,0.8926603590341068,1319,paired_bootstrap
Prism,gsm8k,overall,DPRM-Prism - Prism,rank1_accuracy_delta,1.592115238817286,-0.22744503411675512,3.2600454890068233,0.9036386990937445,1319,paired_bootstrap
Prism,gsm8k,overall,DPRM-Prism - Prism,any4_accuracy_delta,1.9711902956785443,0.3032600454890068,3.56330553449583,0.8210764532195624,1319,paired_bootstrap
Prism,gsm8k,overall,DPRM-Prism - Prism,mean_nfe_delta,461.56330553449584,452.8603487490523,470.4098749052312,4.424268158760154,1319,paired_bootstrap
